"GeneID","Symbol","Name","Control","LPS0111B5","LPSO55","induction score","PSORT","PROTCOMP","Symbol","","IFN/kB","Domain","","tag","annotation","Priority","","Domain"
"GeneID:56700","0610031J06Rik","RIKEN cDNA 0610031J06 gene","176.64","125.02","127.48","0.7077672101449276","extr","plas","0610031J06Rik","","","","","","","","",""
"GeneID:74098","0610037L13Rik","RIKEN cDNA 0610037L13 gene","16.09","11.58","11.19","0.7197016780609075","extr","cyto","0610037L13Rik","","","","","","","","","DUF866"
"GeneID:66086","0610037P05Rik","RIKEN cDNA 0610037P05 gene","29.12","20.62","19.83","0.7081043956043956","cyto","golg","0610037P05Rik","","","","","","","","","FOP_dimer,DUF1662,DUF1662,DUF1662,LisH"
"GeneID:76261","0610040J01Rik","RIKEN cDNA 0610040J01 gene","0.21","0.02","0.07","0.09523809523809525","nucl","nucl","0610040J01Rik","","","","","","","","",""
"GeneID:66096","0910001L09Rik","RIKEN cDNA 0910001L09 gene","114.96","69.26","72.61","0.6024704244954767","extr","cyto","0910001L09Rik","","","","","","","","","Robl_LC7,DUF3571"
"GeneID:66107","1100001G20Rik","RIKEN cDNA 1100001G20 gene","0.04","0.44","0.51","11.0","extr","extr","1100001G20Rik","","","","","","","","","WAP"
"GeneID:68554","1110001A16Rik","RIKEN cDNA 1110001A16 gene","27.18","16.59","17.78","0.6103752759381899","extr","mito","1110001A16Rik","","","","","","","","","Herpes_gI"
"GeneID:66117","1110001J03Rik","RIKEN cDNA 1110001J03 gene","7.87","4.7","4.99","0.5972045743329097","mito","mito","1110001J03Rik","","","","","","","","","Complex1_LYR"
"GeneID:104725","1110002B05Rik","RIKEN cDNA 1110002B05 gene","243.43","129.03","133.4","0.5300497062810664","mito","plas","1110002B05Rik","","","","","","","","","DUF3317"
"GeneID:68550","1110002N22Rik","RIKEN cDNA 1110002N22 gene","5.89","4.64","5.27","0.7877758913412564","mito","mito","1110002N22Rik","","","","","","","","","HHH_3"
"GeneID:68552","1110003E01Rik","RIKEN cDNA 1110003E01 gene","147.29","86.07","95.04","0.5843573901826329","plas","plas","1110003E01Rik","","","","","","","","","DUF2615"
"GeneID:68001","1110004E09Rik","RIKEN cDNA 1110004E09 gene","6.05","3.72","3.22","0.6148760330578513","cyto","nucl","1110004E09Rik","","","","","","","","","DUF2870,DUF2870"
"GeneID:56372","1110004F10Rik","RIKEN cDNA 1110004F10 gene","66.05","51.78","51.85","0.7839515518546556","nucl","nucl","1110004F10Rik","","","","","","","","","Nop14,BUD22"
"GeneID:74319","1110005A03Rik","RIKEN cDNA 1110005A03 gene","7.36","4.44","4.78","0.6032608695652174","cyto_nucl","plas","1110005A03Rik","","","","","","","","","Methyltransf_16,Methyltransf_18"
"GeneID:68480","1110007C09Rik  Bincard","RIKEN cDNA 1110007C09 gene","203.16","225.89","231.92","1.111882260287458","cyto","pero","1110007C09Rik  Bincard","","","CARD","","","","","","CARD,Ded_cyto"
"GeneID:67388","1110008F13Rik","RIKEN cDNA 1110008F13 gene","149.48","108.54","111.54","0.7261172063152262","plas","cyto","1110008F13Rik","","","","","","","","","Rab5ip,DUF3040,DUF2244,DUF2244,NfeD"
"GeneID:100764","1110008J03Rik","RIKEN cDNA 1110008J03 gene","4.21","0.91","0.69","0.2161520190023753","nucl","nucl","1110008J03Rik","","","","","","","","",""
"GeneID:66132","1110008L16Rik","RIKEN cDNA 1110008L16 gene","4.17","1.43","1.36","0.34292565947242204","cyto","mito","1110008L16Rik","","","","","","","","","RNase_Zc3h12a,PPR,PPR,PPR"
"GeneID:73737","1110008P14Rik","RIKEN cDNA 1110008P14 gene","70.85","50.11","51.01","0.7072688779110798","extr","cyto","1110008P14Rik","","","","","","","","","UPF0184,FlgN,EzrA,ATP-synt_D,NEMO,IncA,DUF3080,Viral_P18"
"GeneID:73827","1110012D08Rik","RIKEN cDNA 1110012D08 gene","9.56","4.12","4.18","0.4309623430962343","plas","plas","1110012D08Rik","","","","","","","","",""
"GeneID:68618","1110012L19Rik","RIKEN cDNA 1110012L19 gene","14.0","5.88","6.43","0.42","cyto","mito","1110012L19Rik","","","","","","","","","ASCH"
"GeneID:68505","1110014N23Rik","RIKEN cDNA 1110014N23 gene","27.02","17.36","16.79","0.6424870466321243","cyto","cyto","1110014N23Rik","","","","","","","","","Vps51,Dor1,DUF2450,COG2,Zw10,COG5,COG5"
"GeneID:68528","1110017F19Rik","RIKEN cDNA 1110017F19 gene","0.28","0.28","0.39","1.0","extr","golg","1110017F19Rik","","","","","","","","",""
"GeneID:68497","1110018G07Rik","RIKEN cDNA 1110018G07 gene","18.54","24.19","28.77","1.3047464940668825","nucl","plas","1110018G07Rik","","","","","","","","","HECT,Filamin,Filamin,Filamin"
"GeneID:66129","1110018J18Rik","RIKEN cDNA 1110018J18 gene","25.66","10.69","11.03","0.41660171473109897","mito","mito","1110018J18Rik","","","","","","","","","Redoxin,AhpC-TSA,DUF899"
"GeneID:68646","1110020G09Rik","RIKEN cDNA 1110020G09 gene","9.06","2.93","2.85","0.32339955849889623","mito","pero","1110020G09Rik","","","","","","","","","NAD_kinase,DAGK_cat"
"GeneID:68597","1110021J02Rik","RIKEN cDNA 1110021J02 gene","25.85","22.56","23.56","0.8727272727272727","cyto,pero","plas","1110021J02Rik","","","","","","","","","IncA,priB_priC,priB_priC,Spc24,Spc24,PEP-utilisers_N,PEP-utilisers_N,Mnd1,DUF2208,Tropomyosin_1,TPR_MLP1_2,Prefoldin_2,Prefoldin_2,Seryl_tRNA_N,Seryl_tRNA_N,bZIP_Maf,bZIP_Maf,DivIC,DivIC,DUF904,DUF904,DUF3847,DUF3847,Rho_Binding,Rho_Binding"
"GeneID:76306","1110021L09Rik","RIKEN cDNA 1110021L09 gene","1.9","1.3","1.29","0.6842105263157895","plas","plas","1110021L09Rik","","","","","","","","","MFS_1,MFS_1,LacY_symp,LacY_symp,LacY_symp,MFS_1_like,MFS_1_like,MFS_1_like"
"GeneID:68691","1110028C15Rik","RIKEN cDNA 1110028C15 gene","3.31","2.38","2.1","0.7190332326283988","nucl","cyto","1110028C15Rik","","","","","","","","",""
"GeneID:66179","1110031I02Rik","RIKEN cDNA 1110031I02 gene","6.67","4.11","4.15","0.6161919040479761","plas","plas","1110031I02Rik","","","","","","","","","DUF2086,2OG-FeII_Oxy"
"GeneID:68721","1110032A03Rik","RIKEN cDNA 1110032A03 gene","13.07","6.93","6.74","0.530221882172915","nucl","nucl","1110032A03Rik","","","","","","","","","DUF1143"
"GeneID:68725","1110032F04Rik","RIKEN cDNA 1110032F04 gene","0.0","0.42","0.29","7","plas","extr","1110032F04Rik","","","","","","","","",""
"GeneID:109065","1110034A24Rik","RIKEN cDNA 1110034A24 gene","2.88","0.66","0.72","0.22916666666666669","nucl","nucl","1110034A24Rik","","","","","","","","","PIH1"
"GeneID:68736","1110034B05Rik","RIKEN cDNA 1110034B05 gene","3.76","4.32","4.05","1.148936170212766","cyto,nucl","cyto","1110034B05Rik","","","","","","","","","Cupin_4,Cupin_4,JmjC"
"GeneID:73747","1110034G24Rik","RIKEN cDNA 1110034G24 gene","9.81","2.52","3.05","0.25688073394495414","nucl","nucl","1110034G24Rik","","","","","","","","",""
"GeneID:66185","1110037F02Rik","RIKEN cDNA 1110037F02 gene","13.29","12.89","13.03","0.9699021820917985","nucl","extr","1110037F02Rik","","","","","","","","",""
"GeneID:68778","1110038D17Rik","RIKEN cDNA 1110038D17 gene","11.78","5.36","5.59","0.4550084889643464","extr","cyto","1110038D17Rik","","","","","","","","","Guanylate_cyc_2,DUF3335,DUF3335,Peptidase_C39,Peptidase_C39,Peptidase_C39,Peptidase_C70,Peptidase_C70"
"GeneID:117171","1110038F14Rik","RIKEN cDNA 1110038F14 gene","20.06","26.57","28.32","1.3245264207377867","nucl","nucl","1110038F14Rik","","","","","","","","",""
"GeneID:66193","1110049F12Rik","RIKEN cDNA 1110049F12 gene","15.77","5.71","6.03","0.36207989854153455","cyto","nucl","1110049F12Rik","","","","","","","","","PITH"
"GeneID:228356","1110051M20Rik","RIKEN cDNA 1110051M20 gene","5.37","3.27","3.39","0.6089385474860335","nucl","golg","1110051M20Rik","","","","","","","","",""
"GeneID:66209","1110054O05Rik","RIKEN cDNA 1110054O05 gene","24.86","9.39","8.91","0.3777152051488335","cyto_nucl","nucl","1110054O05Rik","","","","","","","","",""
"GeneID:68832","1110057K04Rik","RIKEN cDNA 1110057K04 gene","28.87","18.63","19.47","0.6453065465881538","cyto","cyto","1110057K04Rik","","","","","","","","","DUF2305,Abhydrolase_6,Abhydrolase_5,Abhydrolase_1,Abhydrolase_1,DUF1234,DUF3089"
"GeneID:68002","1110058L19Rik","RIKEN cDNA 1110058L19 gene","22.87","14.09","14.56","0.6160909488412768","mito","extr","1110058L19Rik","","","","","","","","","DUF1674"
"GeneID:66206","1110059E24Rik","RIKEN cDNA 1110059E24 gene","14.38","9.63","11.26","0.6696801112656467","nucl","nucl","1110059E24Rik","","","","","","","","","DUF2039,CxxC_CxxC_SSSS,CxxC_CxxC_SSSS,Cript,ADK_lid,ADK_lid,ADK_lid"
"GeneID:66202","1110059G10Rik","RIKEN cDNA 1110059G10 gene","30.72","18.65","19.62","0.6070963541666666","nucl","nucl","1110059G10Rik","","","","","","","","","DUF2774,Peptidase_S49_N,Peptidase_S49_N"
"GeneID:68920","1110065P20Rik","RIKEN cDNA 1110065P20 gene","11.01","6.7","6.67","0.6085376930063578","nucl","cyto","1110065P20Rik","","","","","","","","",""
"GeneID:216551","1110067D22Rik","RIKEN cDNA 1110067D22 gene","1.35","1.56","1.52","1.1555555555555554","cysk","cyto","1110067D22Rik","","","","","","","","","Gal-bind_lectin"
"GeneID:66214","1190002H23Rik","RIKEN cDNA 1190002H23 gene","3.73","9.84","10.56","2.6380697050938338","nucl","cyto","1190002H23Rik","","","","","","","","",""
"GeneID:68861","1190002N15Rik","RIKEN cDNA 1190002N15 gene","12.23","7.04","5.37","0.5756336876533115","extr","pero","1190002N15Rik","","","","","","","","",""
"GeneID:76974","1190003J15Rik","RIKEN cDNA 1190003J15 gene","0.12","0.2","0.22","1.6666666666666667","nucl","cyto","1190003J15Rik","","","","","","","","","Transthyretin"
"GeneID:98685","1190005F20Rik","RIKEN cDNA 1190005F20 gene","15.79","13.14","13.31","0.8321722609246359","nucl","nucl","1190005F20Rik","","","","","","","","","TRM,TRM,TRM,Met_10,Methyltransf_16,MTS"
"GeneID:68918","1190005I06Rik","RIKEN cDNA 1190005I06 gene","1.81","0.79","0.52","0.43646408839779005","extr","nucl","1190005I06Rik","","","","","","","","",""
"GeneID:68859","1190007F08Rik","RIKEN cDNA 1190007F08 gene","0.32","0.17","0.1","0.53125","plas","plas","1190007F08Rik","","","","","","","","","V4R"
"GeneID:544717","1190007I07Rik","RIKEN cDNA 1190007I07 gene","7.71","3.91","3.76","0.5071335927367056","extr","extr","1190007I07Rik","","","","","","","","",""
"GeneID:74190","1200009I06Rik","RIKEN cDNA 1200009I06 gene","1.79","11.51","11.28","6.4301675977653625","cyto_nucl","cyto","1200009I06Rik","","","","","","","","","Sec6"
"GeneID:67467","1200011I18Rik","RIKEN cDNA 1200011I18 gene","23.97","20.61","19.97","0.8598247809762203","nucl","nucl","1200011I18Rik","","","","","","","","","DUF3752,DUF3752,DUF3752"
"GeneID:74133","1200011M11Rik","RIKEN cDNA 1200011M11 gene","10.65","12.4","12.2","1.164319248826291","cyto","pero","1200011M11Rik","","","","","","","","","DUF2146,DUF2146"
"GeneID:66874","1200014J11Rik","RIKEN cDNA 1200014J11 gene","11.57","8.16","8.05","0.7052722558340536","nucl","nucl","1200014J11Rik","","","","","","","","","DUF2414,DUF2414,RNA_bind,BSP_II,BSP_II"
"GeneID:66875","1200016B10Rik","RIKEN cDNA 1200016B10 gene","4.92","6.66","6.79","1.353658536585366","nucl","nucl","1200016B10Rik","","","","","","","","",""
"GeneID:74148","1300001I01Rik","RIKEN cDNA 1300001I01 gene","24.2","14.13","12.7","0.5838842975206612","nucl","plas","1300001I01Rik","","","","","","","","","eIF3_p135,TPR_2,TPR_2,DUF727"
"GeneID:74152","1300002K09Rik","RIKEN cDNA 1300002K09 gene","5.72","3.2","3.13","0.5594405594405595","plas","E.R.","1300002K09Rik","","","","","","","","",""
"GeneID:219189","1300010F03Rik","RIKEN cDNA 1300010F03 gene","15.46","11.57","11.6","0.7483829236739974","cyto","plas,mito","1300010F03Rik","","","","","","","","","AAA_5,AAA_5,AAA_5,AAA,AAA,AAA,CbbQ_C,CbbQ_C,Mg_chelatase,Mg_chelatase,Mg_chelatase,AAA_3,AAA_3,AAA_2,AAA_2,ATP-synt_ab,ATP-synt_ab,DUF258,DUF258,RNA_helicase,RNA_helicase,Miro,Miro"
"GeneID:66895","1300014I06Rik","RIKEN cDNA 1300014I06 gene","0.3","0.89","0.75","2.966666666666667","mito","pero","1300014I06Rik","","","","","","","","","PX"
"GeneID:72325","1300018I17Rik","RIKEN cDNA 1300018I17 gene","13.75","3.81","3.6","0.2770909090909091","cyto","nucl","1300018I17Rik","","","","","","","","","VPS9,VPS9,MIT,MIT,MIT"
"GeneID:223776","1300018J18Rik","RIKEN cDNA 1300018J18 gene","17.82","10.04","10.41","0.5634118967452301","mito","nucl","1300018J18Rik","","","","","","","","","UPF0061,UPF0061"
"GeneID:68971","1500001M20Rik","RIKEN cDNA 1500001M20 gene","6.03","3.4","3.27","0.5638474295190713","cyto","mito","1500001M20Rik","","","","","","","","","Mmp37"
"GeneID:71997","1500002O20Rik","RIKEN cDNA 1500002O20 gene","18.22","10.44","9.34","0.5729967069154775","cyto","nucl","1500002O20Rik","","","","","","","","","DUF2146"
"GeneID:56398","1500003O03Rik","RIKEN cDNA 1500003O03 gene","34.18","24.17","24.62","0.7071386775892335","cyto","cyto","1500003O03Rik","","","","","","","","","efhand,efhand,efhand,SPARC_Ca_bdg,SPARC_Ca_bdg,RST,efhand_3,efhand_3,efhand_3"
"GeneID:69784","1500009L16Rik","RIKEN cDNA 1500009L16 gene","0.32","0.28","0.34","0.8750000000000001","nucl","mito","1500009L16Rik","","","","","","","","",""
"GeneID:68964","1500010J02Rik","RIKEN cDNA 1500010J02 gene","5.96","2.86","2.86","0.4798657718120805","cyto_nucl","plas","1500010J02Rik","","","","","","","","",""
"GeneID:68948","1500011H22Rik","RIKEN cDNA 1500011H22 gene","6.52","2.83","2.79","0.4340490797546013","cyto_nucl","nucl","1500011H22Rik","","","","","","","","","Ribosomal_L36"
"GeneID:68949","1500012F01Rik","RIKEN cDNA 1500012F01 gene","45.14","66.07","63.0","1.4636685866194061","cyto","extr","1500012F01Rik","","","","","","","","",""
"GeneID:66994","1500031L02Rik","RIKEN cDNA 1500031L02 gene","8.53","2.41","2.2","0.2825322391559203","mito","nucl","1500031L02Rik","","","","","","","","",""
"GeneID:69029","1500032L24Rik","RIKEN cDNA 1500032L24 gene","165.02","109.17","111.92","0.6615561750090898","mito","mito","1500032L24Rik","","","","","","","","","DDDD,DDDD"
"GeneID:68075","1520402A15Rik","RIKEN cDNA 1520402A15 gene","0.3","0.65","0.4","2.166666666666667","nucl","cyto","1520402A15Rik","","","","","","","","",""
"GeneID:72016","1600002H07Rik","RIKEN cDNA 1600002H07 gene","3.12","0.52","0.39","0.16666666666666666","cyto","nucl","1600002H07Rik","","","","","","","","","DUF2360"
"GeneID:69770","1600002K03Rik","RIKEN cDNA 1600002K03 gene","16.29","9.43","8.69","0.5788827501534684","extr","extr","1600002K03Rik","","","","","","","","","DUF1180,DUF1180,DUF378,DUF2681"
"GeneID:67008","1600012F09Rik","RIKEN cDNA 1600012F09 gene","2.38","0.96","0.73","0.40336134453781514","cyto_nucl","nucl","1600012F09Rik","","","","","","","","","Yae1_N"
"GeneID:67912","1600012H06Rik","RIKEN cDNA 1600012H06 gene","37.28","26.22","26.15","0.7033261802575107","plas","extr","1600012H06Rik","","","","","","","","",""
"GeneID:72244","1600014C10Rik","RIKEN cDNA 1600014C10 gene","12.99","8.55","11.39","0.6581986143187067","cyto","plas","1600014C10Rik","","","","","","","","","DUF456"
"GeneID:72240","1600014C23Rik","RIKEN cDNA 1600014C23 gene","0.05","0.2","0.0","4.0","nucl","extr","1600014C23Rik","","","","","","","","",""
"GeneID:72000","1600016N20Rik","RIKEN cDNA 1600016N20 gene","0.11","0.09","0.07","0.8181818181818181","nucl","nucl","1600016N20Rik","","","","","","","","","IF_tail,Tho2"
"GeneID:239796","1600021P15Rik","RIKEN cDNA 1600021P15 gene","0.49","0.29","0.44","0.5918367346938775","cyto","plas","1600021P15Rik","","","","","","","","","Mab-21"
"GeneID:73247","1600027N09Rik","RIKEN cDNA 1600027N09 gene","9.48","11.03","10.67","1.1635021097046412","nucl","nucl","1600027N09Rik","","","","","","","","","CT20,CT20"
"GeneID:76509","1600029D21Rik","RIKEN cDNA 1600029D21 gene","0.07","1.09","0.73","15.571428571428571","extr","plas","1600029D21Rik","","","","","","","","","Herpes_gp2,Rifin_STEVOR,Colicin_D,Colicin_D"
"GeneID:75462","1700001C19Rik","RIKEN cDNA 1700001C19 gene","1.0","0.45","0.47","0.45","nucl","mito,nucl","1700001C19Rik","","","","","","","","","DUF1185"
"GeneID:66323","1700001K19Rik","RIKEN cDNA 1700001K19 gene","0.37","0.33","0.32","0.891891891891892","mito","cyto","1700001K19Rik","","","","","","","","",""
"GeneID:71837","1700003E16Rik","RIKEN cDNA 1700003E16 gene","0.12","0.02","0.02","0.16666666666666669","nucl","nucl","1700003E16Rik","","","","","","","","",""
"GeneID:75480","1700003F12Rik","RIKEN cDNA 1700003F12 gene","0.81","0.44","0.48","0.5432098765432098","nucl","nucl","1700003F12Rik","","","","","","","","",""
"GeneID:75472","1700009P17Rik","RIKEN cDNA 1700009P17 gene","2.52","1.62","1.81","0.6428571428571429","cyto_nucl","cyto","1700009P17Rik","","","","","","","","",""
"GeneID:66931","1700010I14Rik","RIKEN cDNA 1700010I14 gene","1.41","0.34","0.26","0.2411347517730497","cyto","nucl","1700010I14Rik","","","","","","","","",""
"GeneID:71836","1700012A16Rik","RIKEN cDNA 1700012A16 gene","0.25","0.14","0.08","0.56","nucl","cyto","1700012A16Rik","","","","","","","","","Pectate_lyase_3"
"GeneID:69325","1700012B09Rik","RIKEN cDNA 1700012B09 gene","0.36","0.54","0.68","1.5000000000000002","nucl","cyto","1700012B09Rik","","","","","","","","",""
"GeneID:74211","1700017B05Rik","RIKEN cDNA 1700017B05 gene","20.19","1.82","1.37","0.09014363546310054","nucl","pero","1700017B05Rik","","","","","","","","",""
"GeneID:69396","1700018F24Rik","RIKEN cDNA 1700018F24 gene","0.2","0.32","0.23","1.5999999999999999","nucl","mito","1700018F24Rik","","","","","","","","","RasGEF_N"
"GeneID:76411","1700019E19Rik","RIKEN cDNA 1700019E19 gene","11.15","10.1","10.17","0.905829596412556","cyto,cyto_nucl","nucl","1700019E19Rik","","","","","","","","",""
"GeneID:75541","1700019G17Rik","RIKEN cDNA 1700019G17 gene","0.31","0.13","0.2","0.41935483870967744","plas","plas","1700019G17Rik","","","","","","","","","Acetyltransf_1,FR47"
"GeneID:227736","1700019L03Rik","RIKEN cDNA 1700019L03 gene","2.1","1.04","0.88","0.49523809523809526","cyto_nucl","nucl","1700019L03Rik","","","","","","","","","Reo_sigmaC,Reo_sigmaC,Reo_sigmaC,FUSC,FUSC"
"GeneID:67077","1700019N12Rik","RIKEN cDNA 1700019N12 gene","0.13","0.05","0.08","0.38461538461538464","nucl","nucl","1700019N12Rik","","","","","","","","",""
"GeneID:75642","1700020C07Rik","RIKEN cDNA 1700020C07 gene","0.43","0.13","0.17","0.3023255813953489","plas","plas","1700020C07Rik","","","","","","","","",""
"GeneID:75555","1700020D05Rik","RIKEN cDNA 1700020D05 gene","0.5","0.09","0.08","0.18","mito","cyto","1700020D05Rik","","","","","","","","","MAGE"
"GeneID:66330","1700020L24Rik","RIKEN cDNA 1700020L24 gene","0.46","0.52","0.65","1.1304347826086956","nucl","cyto","1700020L24Rik","","","","","","","","","CDC45,DSL1"
"GeneID:70373","1700020O03Rik","RIKEN cDNA 1700020O03 gene","19.05","12.41","12.47","0.6514435695538058","nucl","plas","1700020O03Rik","","","","","","","","",""
"GeneID:76927","1700021C14Rik","RIKEN cDNA 1700021C14 gene","3.65","2.21","1.97","0.6054794520547945","extr","extr","1700021C14Rik","","","","","","","","",""
"GeneID:67851","1700021F05Rik","RIKEN cDNA 1700021F05 gene","13.42","7.47","6.83","0.5566318926974665","mito","mito","1700021F05Rik","","","","","","","","",""
"GeneID:100502698","1700021K19Rik","RIKEN cDNA 1700021K19 gene","18.14","5.23","5.16","0.28831312017640576","nucl","cyto","1700021K19Rik","","","","","","","","","RUN"
"GeneID:75558","1700022P22Rik","RIKEN cDNA 1700022P22 gene","0.03","0.14","0.12","4.666666666666667","cyto","nucl","1700022P22Rik","","","","","","","","","DUF3627"
"GeneID:242594","1700024P16Rik","RIKEN cDNA 1700024P16 gene","0.02","0.11","0.1","5.5","nucl","nucl","1700024P16Rik","","","","","","","","",""
"GeneID:69399","1700025G04Rik","RIKEN cDNA 1700025G04 gene","18.92","11.51","11.56","0.6083509513742071","cyto","cyto","1700025G04Rik","","","","","","","","","tRNA-synt_1e,DHC_N1,SPX,Duffy_binding,Ribosomal_L25p,Transposase_24,DUF45"
"GeneID:66337","1700025K23Rik","RIKEN cDNA 1700025K23 gene","2.07","1.44","1.39","0.6956521739130435","extr","mito","1700025K23Rik","","","","","","","","",""
"GeneID:75556","1700026D08Rik","RIKEN cDNA 1700026D08 gene","0.11","0.07","0.05","0.6363636363636365","cyto","cyto","1700026D08Rik","","","","","","","","","Ins145_P3_rec,Ins145_P3_rec"
"GeneID:69987","1700026L06Rik","RIKEN cDNA 1700026L06 gene","5.43","3.09","3.28","0.569060773480663","cyto","nucl","1700026L06Rik","","","","","","","","","FCH,FCH,ZapA,ZapA"
"GeneID:76421","1700028K03Rik","RIKEN cDNA 1700028K03 gene","0.88","0.5","0.47","0.5681818181818182","cyto","cyto","1700028K03Rik","","","","","","","","",""
"GeneID:75623","1700029F09Rik","RIKEN cDNA 1700029F09 gene","7.48","8.95","7.67","1.1965240641711228","cyto","mito","1700029F09Rik","","","","","","","","","Abhydrolase_5,Abhydrolase_6,Abhydrolase_6,DLH,DLH,FSH1,PGAP1,Peptidase_S9,Peptidase_S9,Abhydrolase_4"
"GeneID:66938","1700029G01Rik","RIKEN cDNA 1700029G01 gene","0.12","1.15","0.96","9.583333333333332","cyto_nucl,cyto","nucl","1700029G01Rik","","","","","","","","","SH3_2,SH3_2,SH3_2,SH3_1,SH3_1,SH3_1,Sex_peptide"
"GeneID:75641","1700029I15Rik","RIKEN cDNA 1700029I15 gene","0.75","0.35","0.23","0.4666666666666666","extr","extr","1700029I15Rik","","","","","","","","","DUF2909"
"GeneID:76426","1700029J11Rik","RIKEN cDNA 1700029J11 gene","0.24","0.09","0.09","0.375","extr","plas","1700029J11Rik","","","","","","","","",""
"GeneID:69528","1700030J22Rik","RIKEN cDNA 1700030J22 gene","0.7","0.11","0.18","0.15714285714285717","cyto","nucl","1700030J22Rik","","","","","","","","",""
"GeneID:72254","1700030K09Rik","RIKEN cDNA 1700030K09 gene","3.54","0.89","0.91","0.2514124293785311","nucl","nucl","1700030K09Rik","","","","","","","","",""
"GeneID:73324","1700034F02Rik","RIKEN cDNA 1700034F02 gene","0.11","0.06","0.03","0.5454545454545454","cyto","cyto","1700034F02Rik","","","","","","","","","Clathrin,Clathrin,Clathrin,Clathrin,Clathrin,Clathrin"
"GeneID:67105","1700034H14Rik","RIKEN cDNA 1700034H14 gene","11.02","4.94","4.64","0.4482758620689656","mito","mito","1700034H14Rik","","","","","","","","","TIM21,Coa1"
"GeneID:73261","1700037C18Rik","RIKEN cDNA 1700037C18 gene","2.04","1.47","1.54","0.7205882352941176","nucl","nucl","1700037C18Rik","","","","","","","","",""
"GeneID:67326","1700037H04Rik","RIKEN cDNA 1700037H04 gene","43.06","25.32","26.95","0.5880167208546214","mito","cyto","1700037H04Rik","","","","","","","","",""
"GeneID:73327","1700040I03Rik","RIKEN cDNA 1700040I03 gene","3.0","0.98","0.78","0.32666666666666666","extr","extr","1700040I03Rik","","","","","","","","","PA"
"GeneID:100101807","1700047I17Rik2","RIKEN cDNA 1700047I17 gene 2","0.45","2.76","3.15","6.133333333333333","cyto_nucl","cyto","1700047I17Rik2","","","","","","","","","NAD_binding_4,DUF3682"
